maf	n	A_TP	A_FP	A_TN	A_FN	Ab_TP	Ab_FP	Ab_TN	Ab_FN	S_TP	S_FP	S_TN	S_FN	Sb_TP	Sb_FP	Sb_TN	Sb_FN
7	10000	5	11520	584030	8	35	3683	591867	15	5	11501	584049	0	5	3725	591825	0
8	0	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
8	10	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
8	50	5	11520	584030	8	35	3683	591867	15	5	11505	584045	0	5	3683	591867	0
8	100	5	11520	584030	8	35	3683	591867	15	5	11507	584043	0	5	3683	591867	0
8	500	5	11520	584030	8	35	3683	591867	15	5	11502	584048	0	5	3686	591864	0
8	5000	5	11520	584030	8	35	3683	591867	15	5	11505	584045	0	5	3702	591848	0
8	10000	5	11520	584030	8	35	3683	591867	15	5	11513	584037	0	5	3710	591840	0
9	0	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
9	10	4	11520	584030	8	35	3683	591867	15	4	11505	584045	1	4	3683	591867	1
9	50	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
9	100	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
9	500	4	11520	584030	8	35	3683	591867	15	4	11506	584044	1	4	3686	591864	1
9	5000	4	11520	584030	8	35	3683	591867	15	4	11505	584045	1	4	3702	591848	1
9	10000	4	11520	584030	8	35	3683	591867	15	4	11514	584036	1	4	3708	591842	1
10	0	42	11520	584030	8	35	3683	591867	15	46	11504	584046	4	42	3683	591867	8
10	10	42	11520	584030	8	35	3683	591867	15	45	11505	584045	5	42	3683	591867	8
10	50	42	11520	584030	8	35	3683	591867	15	45	11508	584042	5	40	3683	591867	10
10	100	42	11520	584030	8	35	3683	591867	15	45	11510	584040	5	40	3684	591866	10
10	500	42	11520	584030	8	35	3683	591867	15	45	11515	584035	5	40	3686	591864	10
10	5000	42	11520	584030	8	35	3683	591867	15	42	11508	584042	8	38	3697	591853	12
10	10000	42	11520	584030	8	35	3683	591867	15	42	11520	584030	8	38	3716	591834	12
0	0	1	7189	588361	10	31	2800	592750	19	2	7184	588366	3	2	2800	592750	3
0	10	1	7189	588361	10	31	2800	592750	19	2	7184	588366	3	1	2801	592749	4
0	50	1	7189	588361	10	31	2800	592750	19	2	7185	588365	3	1	2801	592749	4
0	100	1	7189	588361	10	31	2800	592750	19	1	7184	588366	4	1	2800	592750	4
0	500	1	7189	588361	10	31	2800	592750	19	1	7183	588367	4	1	2801	592749	4
0	5000	1	7189	588361	10	31	2800	592750	19	1	7185	588365	4	0	2814	592736	5
0	10000	1	7189	588361	10	31	2800	592750	19	1	7186	588364	4	0	2821	592729	5
1	0	2	7189	588361	10	31	2800	592750	19	5	7184	588366	0	4	2800	592750	1
1	10	2	7189	588361	10	31	2800	592750	19	5	7184	588366	0	2	2800	592750	3
1	50	2	7189	588361	10	31	2800	592750	19	2	7184	588366	3	2	2801	592749	3
1	100	2	7189	588361	10	31	2800	592750	19	2	7184	588366	3	2	2800	592750	3
1	500	2	7189	588361	10	31	2800	592750	19	2	7186	588364	3	2	2803	592747	3
1	5000	2	7189	588361	10	31	2800	592750	19	2	7182	588368	3	2	2816	592734	3
1	10000	2	7189	588361	10	31	2800	592750	19	2	7189	588361	3	2	2823	592727	3
2	0	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
2	10	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
2	50	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
2	100	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
2	500	4	7189	588361	10	31	2800	592750	19	4	7181	588369	1	3	2805	592745	2
2	5000	4	7189	588361	10	31	2800	592750	19	4	7182	588368	1	2	2810	592740	3
2	10000	4	7189	588361	10	31	2800	592750	19	4	7191	588359	1	2	2829	592721	3
3	0	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
3	10	5	7189	588361	10	31	2800	592750	19	5	7185	588365	0	5	2800	592750	0
3	50	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2801	592749	0
3	100	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2801	592749	0
3	500	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2802	592748	0
3	5000	5	7189	588361	10	31	2800	592750	19	5	7197	588353	0	5	2817	592733	0
3	10000	5	7189	588361	10	31	2800	592750	19	5	7188	588362	0	4	2817	592733	1
4	0	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
4	10	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2801	592749	0
4	50	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2801	592749	0
4	100	5	7189	588361	10	31	2800	592750	19	5	7185	588365	0	5	2800	592750	0
4	500	5	7189	588361	10	31	2800	592750	19	5	7188	588362	0	5	2803	592747	0
4	5000	5	7189	588361	10	31	2800	592750	19	5	7180	588370	0	5	2817	592733	0
4	10000	5	7189	588361	10	31	2800	592750	19	5	7195	588355	0	4	2833	592717	1
5	0	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
5	10	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
5	50	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
5	100	5	7189	588361	10	31	2800	592750	19	5	7185	588365	0	5	2801	592749	0
5	500	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2801	592749	0
5	5000	5	7189	588361	10	31	2800	592750	19	5	7186	588364	0	5	2813	592737	0
5	10000	5	7189	588361	10	31	2800	592750	19	5	7189	588361	0	5	2822	592728	0
6	0	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
6	10	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
6	50	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
6	100	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
6	500	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2804	592746	0
6	5000	5	7189	588361	10	31	2800	592750	19	5	7187	588363	0	5	2813	592737	0
6	10000	5	7189	588361	10	31	2800	592750	19	5	7182	588368	0	5	2819	592731	0
7	0	4	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
7	10	4	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
7	50	4	7189	588361	10	31	2800	592750	19	5	7185	588365	0	4	2800	592750	1
7	100	4	7189	588361	10	31	2800	592750	19	5	7184	588366	0	4	2800	592750	1
7	500	4	7189	588361	10	31	2800	592750	19	4	7185	588365	1	4	2803	592747	1
7	5000	4	7189	588361	10	31	2800	592750	19	4	7185	588365	1	4	2821	592729	1
7	10000	4	7189	588361	10	31	2800	592750	19	4	7183	588367	1	4	2820	592730	1
8	0	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
8	10	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
8	50	5	7189	588361	10	31	2800	592750	19	5	7184	588366	0	5	2800	592750	0
8	100	5	7189	588361	10	31	2800	592750	19	5	7185	588365	0	5	2801	592749	0
8	500	5	7189	588361	10	31	2800	592750	19	5	7182	588368	0	5	2806	592744	0
8	5000	5	7189	588361	10	31	2800	592750	19	5	7180	588370	0	4	2816	592734	1
8	10000	5	7189	588361	10	31	2800	592750	19	5	7185	588365	0	4	2823	592727	1
9	0	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
9	10	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2801	592749	1
9	50	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2802	592748	1
9	100	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2800	592750	1
9	500	4	7189	588361	10	31	2800	592750	19	4	7180	588370	1	4	2803	592747	1
9	5000	4	7189	588361	10	31	2800	592750	19	4	7184	588366	1	4	2817	592733	1
9	10000	4	7189	588361	10	31	2800	592750	19	4	7187	588363	1	4	2827	592723	1
10	0	40	7189	588361	10	31	2800	592750	19	46	7184	588366	4	40	2800	592750	10
10	10	40	7189	588361	10	31	2800	592750	19	46	7184	588366	4	40	2800	592750	10
10	50	40	7189	588361	10	31	2800	592750	19	45	7185	588365	5	40	2801	592749	10
10	100	40	7189	588361	10	31	2800	592750	19	45	7187	588363	5	39	2800	592750	11
10	500	40	7189	588361	10	31	2800	592750	19	43	7186	588364	7	39	2802	592748	11
10	5000	40	7189	588361	10	31	2800	592750	19	40	7185	588365	10	36	2812	592738	14
10	10000	40	7189	588361	10	31	2800	592750	19	40	7197	588353	10	34	2821	592729	16
0	0	2	8403	587147	8	33	3580	591970	17	3	8388	587162	2	3	3580	591970	2
0	10	2	8403	587147	8	33	3580	591970	17	3	8388	587162	2	3	3580	591970	2
0	50	2	8403	587147	8	33	3580	591970	17	3	8388	587162	2	2	3580	591970	3
0	100	2	8403	587147	8	33	3580	591970	17	3	8389	587161	2	2	3581	591969	3
0	500	2	8403	587147	8	33	3580	591970	17	2	8390	587160	3	2	3584	591966	3
0	5000	2	8403	587147	8	33	3580	591970	17	2	8390	587160	3	1	3601	591949	4
0	10000	2	8403	587147	8	33	3580	591970	17	2	8386	587164	3	1	3615	591935	4
1	0	3	8403	587147	8	33	3580	591970	17	4	8388	587162	1	3	3580	591970	2
1	10	3	8403	587147	8	33	3580	591970	17	3	8388	587162	2	3	3580	591970	2
1	50	3	8403	587147	8	33	3580	591970	17	3	8392	587158	2	3	3580	591970	2
1	100	3	8403	587147	8	33	3580	591970	17	3	8390	587160	2	3	3580	591970	2
1	500	3	8403	587147	8	33	3580	591970	17	3	8389	587161	2	3	3583	591967	2
1	5000	3	8403	587147	8	33	3580	591970	17	3	8392	587158	2	2	3600	591950	3
1	10000	3	8403	587147	8	33	3580	591970	17	3	8395	587155	2	2	3603	591947	3
2	0	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
2	10	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
2	50	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
2	100	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3581	591969	0
2	500	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3581	591969	0
2	5000	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3603	591947	0
2	10000	5	8403	587147	8	33	3580	591970	17	5	8395	587155	0	5	3591	591959	0
3	0	4	8403	587147	8	33	3580	591970	17	4	8388	587162	1	4	3580	591970	1
3	10	4	8403	587147	8	33	3580	591970	17	4	8388	587162	1	4	3580	591970	1
3	50	4	8403	587147	8	33	3580	591970	17	4	8390	587160	1	4	3581	591969	1
3	100	4	8403	587147	8	33	3580	591970	17	4	8389	587161	1	4	3580	591970	1
3	500	4	8403	587147	8	33	3580	591970	17	4	8390	587160	1	3	3583	591967	2
3	5000	4	8403	587147	8	33	3580	591970	17	4	8386	587164	1	3	3602	591948	2
3	10000	4	8403	587147	8	33	3580	591970	17	4	8386	587164	1	3	3609	591941	2
4	0	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
4	10	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
4	50	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3581	591969	0
4	100	5	8403	587147	8	33	3580	591970	17	5	8390	587160	0	5	3581	591969	0
4	500	5	8403	587147	8	33	3580	591970	17	5	8390	587160	0	5	3585	591965	0
4	5000	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3599	591951	0
4	10000	5	8403	587147	8	33	3580	591970	17	5	8382	587168	0	4	3607	591943	1
5	0	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
5	10	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
5	50	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3581	591969	0
5	100	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
5	500	5	8403	587147	8	33	3580	591970	17	5	8392	587158	0	5	3584	591966	0
5	5000	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3598	591952	0
5	10000	5	8403	587147	8	33	3580	591970	17	5	8393	587157	0	5	3610	591940	0
6	0	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
6	10	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
6	50	5	8403	587147	8	33	3580	591970	17	5	8390	587160	0	5	3581	591969	0
6	100	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3582	591968	0
6	500	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3581	591969	0
6	5000	5	8403	587147	8	33	3580	591970	17	5	8386	587164	0	5	3597	591953	0
6	10000	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3606	591944	0
7	0	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
7	10	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
7	50	4	8403	587147	8	33	3580	591970	17	5	8389	587161	0	4	3582	591968	1
7	100	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	4	3582	591968	1
7	500	4	8403	587147	8	33	3580	591970	17	4	8389	587161	1	3	3582	591968	2
7	5000	4	8403	587147	8	33	3580	591970	17	4	8384	587166	1	3	3608	591942	2
7	10000	4	8403	587147	8	33	3580	591970	17	4	8397	587153	1	3	3614	591936	2
8	0	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
8	10	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
8	50	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
8	100	5	8403	587147	8	33	3580	591970	17	5	8389	587161	0	5	3580	591970	0
8	500	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3582	591968	0
8	5000	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3595	591955	0
8	10000	5	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3611	591939	0
9	0	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
9	10	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	5	3580	591970	0
9	50	4	8403	587147	8	33	3580	591970	17	5	8388	587162	0	4	3580	591970	1
9	100	4	8403	587147	8	33	3580	591970	17	5	8391	587159	0	4	3582	591968	1
9	500	4	8403	587147	8	33	3580	591970	17	4	8389	587161	1	4	3583	591967	1
9	5000	4	8403	587147	8	33	3580	591970	17	4	8388	587162	1	4	3605	591945	1
9	10000	4	8403	587147	8	33	3580	591970	17	4	8383	587167	1	4	3615	591935	1
10	0	42	8403	587147	8	33	3580	591970	17	46	8388	587162	4	42	3580	591970	8
10	10	42	8403	587147	8	33	3580	591970	17	46	8388	587162	4	42	3580	591970	8
0	0	4	9453	586097	5	37	3495	592055	13	4	9438	586112	1	4	3495	592055	1
10	50	42	8403	587147	8	33	3580	591970	17	45	8388	587162	5	42	3580	591970	8
0	10	4	9453	586097	5	37	3495	592055	13	4	9438	586112	1	4	3495	592055	1
10	100	42	8403	587147	8	33	3580	591970	17	45	8391	587159	5	41	3582	591968	9
10	500	41	8403	587147	8	33	3580	591970	17	46	8392	587158	5	40	3583	591967	11
0	50	4	9453	586097	5	37	3495	592055	13	4	9439	586111	1	4	3496	592054	1
10	5000	42	8403	587147	8	33	3580	591970	17	43	8401	587149	7	38	3597	591953	12
0	100	4	9453	586097	5	37	3495	592055	13	4	9435	586115	1	4	3499	592051	1
