maf	n	A_TP	A_FP	A_TN	A_FN	Ab_TP	Ab_FP	Ab_TN	Ab_FN	S_TP	S_FP	S_TN	S_FN	Sb_TP	Sb_FP	Sb_TN	Sb_FN
0	0	1	6371	589179	10	29	2496	593054	21	5	6360	589190	0	4	2496	593054	1
0	10	1	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2496	593054	1
0	50	1	6371	589179	10	29	2496	593054	21	4	6363	589187	1	1	2496	593054	4
0	100	1	6371	589179	10	29	2496	593054	21	4	6361	589189	1	1	2496	593054	4
0	500	1	6371	589179	10	29	2496	593054	21	1	6361	589189	4	1	2499	593051	4
0	5000	1	6371	589179	10	29	2496	593054	21	1	6361	589189	4	1	2508	593042	4
0	10000	1	6371	589179	10	29	2496	593054	21	1	6365	589185	4	1	2518	593032	4
1	0	4	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
1	10	4	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2496	593054	0
1	50	4	6371	589179	10	29	2496	593054	21	5	6361	589189	0	4	2496	593054	1
1	100	4	6371	589179	10	29	2496	593054	21	5	6362	589188	0	4	2497	593053	1
1	500	4	6371	589179	10	29	2496	593054	21	4	6362	589188	1	4	2497	593053	1
1	5000	4	6371	589179	10	29	2496	593054	21	4	6369	589181	1	3	2508	593042	2
1	10000	4	6371	589179	10	29	2496	593054	21	4	6362	589188	1	3	2522	593028	2
2	0	3	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2496	593054	1
2	10	3	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2496	593054	1
2	50	3	6371	589179	10	29	2496	593054	21	4	6360	589190	1	3	2496	593054	2
2	100	3	6371	589179	10	29	2496	593054	21	4	6362	589188	1	3	2496	593054	2
2	500	3	6371	589179	10	29	2496	593054	21	3	6360	589190	2	3	2500	593050	2
2	5000	3	6371	589179	10	29	2496	593054	21	3	6366	589184	2	3	2511	593039	2
2	10000	3	6371	589179	10	29	2496	593054	21	3	6360	589190	2	3	2522	593028	2
3	0	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
3	10	5	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2496	593054	0
3	50	5	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2496	593054	0
3	100	5	6371	589179	10	29	2496	593054	21	5	6362	589188	0	5	2496	593054	0
3	500	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	3	2500	593050	2
3	5000	5	6371	589179	10	29	2496	593054	21	5	6358	589192	0	3	2509	593041	2
3	10000	5	6371	589179	10	29	2496	593054	21	5	6364	589186	0	3	2524	593026	2
4	0	4	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
4	10	4	6371	589179	10	29	2496	593054	21	5	6360	589190	0	4	2496	593054	1
4	50	4	6371	589179	10	29	2496	593054	21	5	6358	589192	0	4	2497	593053	1
4	100	4	6371	589179	10	29	2496	593054	21	4	6364	589186	1	4	2496	593054	1
4	500	4	6371	589179	10	29	2496	593054	21	4	6359	589191	1	4	2500	593050	1
4	5000	4	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2503	593047	1
4	10000	4	6371	589179	10	29	2496	593054	21	4	6363	589187	1	4	2507	593043	1
5	0	4	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2496	593054	1
5	10	4	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2496	593054	1
5	50	4	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2497	593053	1
5	100	4	6371	589179	10	29	2496	593054	21	4	6361	589189	1	4	2497	593053	1
5	500	4	6371	589179	10	29	2496	593054	21	4	6362	589188	1	4	2497	593053	1
5	5000	4	6371	589179	10	29	2496	593054	21	4	6367	589183	1	3	2507	593043	2
5	10000	4	6371	589179	10	29	2496	593054	21	4	6369	589181	1	3	2523	593027	2
6	0	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
6	10	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
6	50	5	6371	589179	10	29	2496	593054	21	5	6362	589188	0	5	2496	593054	0
6	100	5	6371	589179	10	29	2496	593054	21	5	6362	589188	0	5	2496	593054	0
6	500	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2498	593052	0
6	5000	5	6371	589179	10	29	2496	593054	21	5	6367	589183	0	5	2507	593043	0
6	10000	5	6371	589179	10	29	2496	593054	21	5	6373	589177	0	5	2513	593037	0
7	0	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
7	10	5	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2496	593054	0
7	50	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2497	593053	0
7	100	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2498	593052	0
7	500	5	6371	589179	10	29	2496	593054	21	5	6367	589183	0	5	2498	593052	0
7	5000	5	6371	589179	10	29	2496	593054	21	5	6369	589181	0	5	2508	593042	0
7	10000	5	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2514	593036	0
8	0	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
8	10	5	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
8	50	5	6371	589179	10	29	2496	593054	21	5	6359	589191	0	5	2496	593054	0
8	100	5	6371	589179	10	29	2496	593054	21	5	6362	589188	0	5	2498	593052	0
8	500	5	6371	589179	10	29	2496	593054	21	5	6365	589185	0	5	2497	593053	0
8	5000	5	6371	589179	10	29	2496	593054	21	5	6363	589187	0	4	2510	593040	1
8	10000	5	6371	589179	10	29	2496	593054	21	5	6363	589187	0	4	2520	593030	1
9	0	4	6371	589179	10	29	2496	593054	21	5	6360	589190	0	5	2496	593054	0
9	10	4	6371	589179	10	29	2496	593054	21	5	6361	589189	0	5	2496	593054	0
9	50	4	6371	589179	10	29	2496	593054	21	5	6360	589190	0	4	2498	593052	1
9	100	4	6371	589179	10	29	2496	593054	21	5	6361	589189	0	4	2496	593054	1
9	500	4	6371	589179	10	29	2496	593054	21	4	6362	589188	1	4	2497	593053	1
9	5000	4	6371	589179	10	29	2496	593054	21	4	6360	589190	1	4	2510	593040	1
9	10000	4	6371	589179	10	29	2496	593054	21	4	6366	589184	1	4	2514	593036	1
10	0	40	6371	589179	10	29	2496	593054	21	48	6360	589190	2	41	2496	593054	9
10	10	40	6371	589179	10	29	2496	593054	21	48	6360	589190	2	40	2496	593054	10
10	50	40	6371	589179	10	29	2496	593054	21	47	6366	589184	3	40	2496	593054	10
10	100	40	6371	589179	10	29	2496	593054	21	47	6366	589184	3	39	2496	593054	11
10	500	40	6371	589179	10	29	2496	593054	21	46	6367	589183	4	38	2499	593051	12
10	5000	36	6371	589179	10	29	2496	593054	21	47	6367	589183	7	39	2514	593036	15
10	10000	38	6371	589179	10	29	2496	593054	21	43	6373	589177	9	37	2520	593030	15
0	0	4	11520	584030	8	35	3683	591867	15	5	11504	584046	0	4	3683	591867	1
0	10	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
0	50	4	11520	584030	8	35	3683	591867	15	4	11507	584043	1	4	3684	591866	1
0	100	4	11520	584030	8	35	3683	591867	15	4	11500	584050	1	3	3686	591864	2
0	500	4	11520	584030	8	35	3683	591867	15	4	11508	584042	1	3	3685	591865	2
0	5000	4	11520	584030	8	35	3683	591867	15	4	11509	584041	1	2	3715	591835	3
0	10000	4	11520	584030	8	35	3683	591867	15	4	11494	584056	1	2	3718	591832	3
1	0	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
1	10	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
1	50	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
1	100	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
1	500	5	11520	584030	8	35	3683	591867	15	5	11500	584050	0	5	3689	591861	0
1	5000	5	11520	584030	8	35	3683	591867	15	5	11495	584055	0	5	3701	591849	0
1	10000	5	11520	584030	8	35	3683	591867	15	5	11493	584057	0	5	3710	591840	0
2	0	3	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
2	10	3	11520	584030	8	35	3683	591867	15	4	11504	584046	1	3	3683	591867	2
2	50	3	11520	584030	8	35	3683	591867	15	4	11505	584045	1	3	3683	591867	2
2	100	3	11520	584030	8	35	3683	591867	15	3	11506	584044	2	3	3684	591866	2
2	500	3	11520	584030	8	35	3683	591867	15	3	11501	584049	2	3	3688	591862	2
2	5000	3	11520	584030	8	35	3683	591867	15	3	11501	584049	2	3	3698	591852	2
2	10000	3	11520	584030	8	35	3683	591867	15	3	11498	584052	2	3	3708	591842	2
3	0	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
3	10	5	11520	584030	8	35	3683	591867	15	5	11505	584045	0	5	3684	591866	0
3	50	5	11520	584030	8	35	3683	591867	15	5	11503	584047	0	5	3685	591865	0
3	100	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	4	3683	591867	1
3	500	5	11520	584030	8	35	3683	591867	15	5	11500	584050	0	4	3686	591864	1
3	5000	5	11520	584030	8	35	3683	591867	15	5	11495	584055	0	3	3706	591844	2
3	10000	5	11520	584030	8	35	3683	591867	15	5	11502	584048	0	3	3716	591834	2
4	0	3	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
4	10	3	11520	584030	8	35	3683	591867	15	4	11503	584047	1	4	3683	591867	1
4	50	3	11520	584030	8	35	3683	591867	15	4	11505	584045	1	3	3683	591867	2
4	100	3	11520	584030	8	35	3683	591867	15	4	11505	584045	1	3	3683	591867	2
4	500	3	11520	584030	8	35	3683	591867	15	3	11504	584046	2	3	3684	591866	2
4	5000	3	11520	584030	8	35	3683	591867	15	3	11508	584042	2	3	3698	591852	2
4	10000	3	11520	584030	8	35	3683	591867	15	3	11506	584044	2	3	3708	591842	2
5	0	4	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
5	10	4	11520	584030	8	35	3683	591867	15	5	11504	584046	0	4	3683	591867	1
5	50	4	11520	584030	8	35	3683	591867	15	5	11506	584044	0	4	3683	591867	1
5	100	4	11520	584030	8	35	3683	591867	15	5	11501	584049	0	4	3685	591865	1
5	500	4	11520	584030	8	35	3683	591867	15	4	11502	584048	1	4	3686	591864	1
5	5000	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3693	591857	1
5	10000	4	11520	584030	8	35	3683	591867	15	4	11497	584053	1	4	3714	591836	1
6	0	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3683	591867	1
6	10	4	11520	584030	8	35	3683	591867	15	4	11505	584045	1	4	3684	591866	1
6	50	4	11520	584030	8	35	3683	591867	15	4	11505	584045	1	4	3683	591867	1
6	100	4	11520	584030	8	35	3683	591867	15	4	11504	584046	1	4	3684	591866	1
6	500	4	11520	584030	8	35	3683	591867	15	4	11512	584038	1	4	3687	591863	1
6	5000	4	11520	584030	8	35	3683	591867	15	4	11503	584047	1	4	3703	591847	1
6	10000	4	11520	584030	8	35	3683	591867	15	4	11512	584038	1	4	3710	591840	1
7	0	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
7	10	5	11520	584030	8	35	3683	591867	15	5	11504	584046	0	5	3683	591867	0
7	50	5	11520	584030	8	35	3683	591867	15	5	11501	584049	0	5	3685	591865	0
7	100	5	11520	584030	8	35	3683	591867	15	5	11501	584049	0	5	3684	591866	0
7	500	5	11520	584030	8	35	3683	591867	15	5	11500	584050	0	5	3688	591862	0
7	5000	5	11520	584030	8	35	3683	591867	15	5	11505	584045	0	5	3700	591850	0
