n_gene	A_TP	A_FP	A_TN	A_FN	Ab_TP	Ab_FP	Ab_TN	Ab_FN	S_TP	S_FP	S_TN	S_FN	S_just_stratum_FP	Sb_TP	Sb_FP	Sb_TN	Sb_FN	agg_strat_fp	strat_fp
3	3	2110	593487	0	3	960	594637	0	3	2293	593304	0	432	3	968	594629	0	186	432
3	3	357	595240	0	3	110	595487	0	3	356	595241	0	8	3	111	595486	0	10	8
3	3	1467	594130	0	3	754	594843	0	3	1492	594105	0	442	3	803	594794	0	305	442
3	2	2308	593289	1	2	1423	594174	1	2	2263	593334	1	577	2	1474	594123	1	532	577
3	3	2286	593311	0	3	920	594677	0	3	2278	593319	0	629	3	998	594599	0	498	629
3	3	1909	593688	0	3	1068	594529	0	3	1865	593732	0	312	3	1096	594501	0	289	312
3	3	1513	594084	0	3	683	594914	0	3	1511	594086	0	3	3	684	594913	0	6	3
3	3	1566	594031	0	3	932	594665	0	3	1760	593837	0	675	3	968	594629	0	407	675
3	3	1719	593878	0	3	840	594757	0	3	1738	593859	0	222	3	857	594740	0	164	222
3	3	3804	591793	0	3	2084	593513	0	3	3795	591802	0	466	3	2094	593503	0	408	466
3	3	4106	591491	0	3	2867	592730	0	3	4102	591495	0	78	3	2872	592725	0	74	78
3	3	507	595090	0	3	244	595353	0	3	514	595083	0	50	3	256	595341	0	37	50
3	3	2220	593377	0	3	1358	594239	0	3	2216	593381	0	411	3	1363	594234	0	336	411
3	2	374	595223	1	2	269	595328	1	2	433	595164	1	132	2	301	595296	1	68	132
3	3	2493	593104	0	3	1377	594220	0	3	2492	593105	0	244	3	1404	594193	0	208	244
3	3	1436	594161	0	3	528	595069	0	3	1447	594150	0	324	3	564	595033	0	249	324
3	3	2439	593158	0	3	1193	594404	0	3	2444	593153	0	423	3	1249	594348	0	334	423
3	3	779	594818	0	3	373	595224	0	3	842	594755	0	184	3	409	595188	0	91	184
3	3	1741	593856	0	3	834	594763	0	3	1774	593823	0	570	3	895	594702	0	456	570
3	3	935	594662	0	3	533	595064	0	3	966	594631	0	503	3	569	595028	0	369	503
3	3	1436	594161	0	3	602	594995	0	3	1432	594165	0	176	3	614	594983	0	137	176
3	3	1157	594440	0	3	512	595085	0	3	1164	594433	0	102	3	527	595070	0	84	102
3	3	1734	593863	0	3	915	594682	0	3	1705	593892	0	198	3	939	594658	0	173	198
3	3	663	594934	0	3	374	595223	0	3	628	594969	0	216	3	393	595204	0	193	216
3	3	2893	592704	0	3	1509	594088	0	3	2883	592714	0	74	3	1514	594083	0	74	74
3	3	1898	593699	0	3	1085	594512	0	3	1840	593757	0	568	3	1219	594378	0	530	568
3	3	2991	592606	0	2	1068	594529	1	3	2976	592621	0	409	3	1207	594390	0	326	409
3	3	2051	593546	0	3	961	594636	0	3	1999	593598	0	240	3	971	594626	0	206	240
3	3	4437	591160	0	3	2115	593482	0	3	4328	591269	0	599	3	2132	593465	0	526	599
8	8	3857	591735	0	8	1213	594379	0	8	3883	591709	0	494	8	1273	594319	0	343	494
8	7	2660	592932	1	6	1211	594381	2	8	2784	592808	0	622	6	1240	594352	2	404	622
8	8	3638	591954	0	8	1794	593798	0	8	3672	591920	0	460	8	1855	593737	0	364	460
8	6	4226	591366	2	6	1832	593760	2	6	4209	591383	2	361	6	1873	593719	2	297	361
8	7	3652	591940	1	7	2075	593517	1	7	3778	591814	1	566	7	2123	593469	1	380	566
8	8	1427	594165	0	8	575	595017	0	8	1467	594125	0	187	8	611	594981	0	132	187
8	7	2701	592891	1	7	1188	594404	1	7	2661	592931	1	483	7	1238	594354	1	372	483
8	6	5440	590152	2	6	2269	593323	2	7	5245	590347	1	889	6	2347	593245	2	797	889
8	8	3252	592340	0	7	1931	593661	1	8	3242	592350	0	743	8	2006	593586	0	651	743
8	5	5863	589729	3	5	2770	592822	3	6	5854	589738	2	232	5	2781	592811	3	175	232
8	7	2570	593022	1	5	1269	594323	3	8	2603	592989	0	736	7	1326	594266	1	537	736
8	8	2788	592804	0	7	1577	594015	1	8	2768	592824	0	615	8	1607	593985	0	530	615
8	8	4493	591099	0	7	1649	593943	1	8	4543	591049	0	964	8	1846	593746	0	712	964
8	7	2906	592686	1	7	1572	594020	1	7	2939	592653	1	479	7	1636	593956	1	370	479
8	8	4282	591310	0	7	1631	593961	1	8	4187	591405	0	382	8	1685	593907	0	319	382
8	7	3041	592551	1	6	1244	594348	2	8	3040	592552	0	805	7	1543	594049	1	664	805
8	8	3013	592579	0	8	1618	593974	0	8	3097	592495	0	435	8	1662	593930	0	306	435
8	7	3589	592003	1	7	1765	593827	1	8	3609	591983	0	494	7	1863	593729	1	370	494
8	7	3028	592564	1	7	1860	593732	1	8	3127	592465	0	782	7	1951	593641	1	612	782
8	7	4382	591210	1	7	2139	593453	1	7	4378	591214	1	614	7	2180	593412	1	486	614
8	8	2905	592687	0	8	1398	594194	0	8	3059	592533	0	952	8	1588	594004	0	643	952
8	7	2903	592689	1	7	1299	594293	1	8	2911	592681	0	418	7	1362	594230	1	333	418
8	7	4621	590971	1	6	2857	592735	2	8	4716	590876	0	400	6	2899	592693	2	266	400
