n_gene	A_TP	A_FP	A_TN	A_FN	Ab_TP	Ab_FP	Ab_TN	Ab_FN	S_TP	S_FP	S_TN	S_FN	S_just_stratum_FP	Sb_TP	Sb_FP	Sb_TN	Sb_FN	agg_strat_fp	strat_fp
8	7	2244	593348	1	6	812	594780	2	7	2228	593364	1	400	6	878	594714	2	253	400
8	7	3283	592309	1	7	1527	594065	1	7	3275	592317	1	510	7	1578	594014	1	403	510
5	5	2325	593270	0	5	1233	594362	0	5	2347	593248	0	136	5	1245	594350	0	92	136
5	5	2235	593360	0	5	1058	594537	0	5	2203	593392	0	591	5	1083	594512	0	452	591
5	5	1990	593605	0	5	1052	594543	0	5	2059	593536	0	318	5	1100	594495	0	196	318
5	5	2209	593386	0	5	1324	594271	0	5	2198	593397	0	563	5	1451	594144	0	475	563
5	5	3520	592075	0	5	1046	594549	0	5	3412	592183	0	686	5	1083	594512	0	547	686
5	5	3115	592480	0	4	1794	593801	1	5	3156	592439	0	145	5	1813	593782	0	100	145
5	5	1851	593744	0	5	894	594701	0	5	1860	593735	0	549	5	915	594680	0	404	549
5	4	2576	593019	1	3	1139	594456	2	5	2636	592959	0	494	4	1201	594394	1	331	494
5	5	1277	594318	0	4	789	594806	1	5	1316	594279	0	422	5	832	594763	0	341	422
5	5	2371	593224	0	5	1252	594343	0	5	2380	593215	0	341	5	1297	594298	0	243	341
5	5	2290	593305	0	5	1013	594582	0	5	2310	593285	0	349	5	1064	594531	0	267	349
5	5	2675	592920	0	5	1267	594328	0	5	2802	592793	0	721	5	1339	594256	0	458	721
5	5	4154	591441	0	5	2095	593500	0	5	4131	591464	0	487	5	2136	593459	0	423	487
5	4	2965	592630	1	4	1476	594119	1	5	2895	592700	0	532	4	1507	594088	1	490	532
5	5	1924	593671	0	5	712	594883	0	5	2091	593504	0	662	5	788	594807	0	361	662
5	4	3000	592595	1	4	1475	594120	1	5	2951	592644	0	772	4	1528	594067	1	656	772
5	5	2109	593486	0	5	722	594873	0	5	2115	593480	0	256	5	775	594820	0	206	256
5	5	1504	594091	0	4	935	594660	1	5	1557	594038	0	346	5	982	594613	0	255	346
5	5	2660	592935	0	5	1378	594217	0	5	2666	592929	0	541	5	1425	594170	0	443	541
5	5	3605	591990	0	4	1931	593664	1	5	3610	591985	0	625	5	1987	593608	0	515	625
5	5	1989	593606	0	5	1066	594529	0	5	1988	593607	0	54	5	1078	594517	0	52	54
5	4	1194	594401	1	4	691	594904	1	5	1305	594290	0	372	4	737	594858	1	223	372
5	5	2037	593558	0	5	1049	594546	0	5	2046	593549	0	80	5	1058	594537	0	60	80
5	5	1555	594040	0	5	810	594785	0	5	1628	593967	0	570	5	865	594730	0	427	570
5	4	2082	593513	1	3	763	594832	2	5	2101	593494	0	353	3	813	594782	2	249	353
5	5	4664	590931	0	5	2129	593466	0	5	4579	591016	0	391	5	2149	593446	0	362	391
5	4	5208	590387	1	4	1359	594236	1	5	5008	590587	0	860	4	1578	594017	1	702	860
5	3	1557	594038	2	3	1016	594579	2	3	1570	594025	2	73	3	1018	594577	2	53	73
5	5	1777	593818	0	4	772	594823	1	5	1916	593679	0	731	5	893	594702	0	481	731
10	6	2104	593486	4	5	1023	594567	5	7	2202	593388	3	423	6	1082	594508	4	256	423
10	9	3019	592571	1	8	1613	593977	2	10	3127	592463	0	823	9	1693	593897	1	583	823
10	9	6849	588741	1	9	2116	593474	1	10	6662	588928	0	977	9	2166	593424	1	750	977
10	7	3408	592182	3	7	1532	594058	3	8	3419	592171	2	876	7	1633	593957	3	658	876
10	7	26908	568682	3	6	3091	592499	4	8	26450	569140	2	914	7	3159	592431	3	826	914
10	8	2272	593318	2	6	921	594669	4	8	2238	593352	2	693	8	1029	594561	2	490	693
10	8	3651	591939	2	8	1488	594102	2	8	3586	592004	2	521	8	1543	594047	2	403	521
10	6	3054	592536	4	5	982	594608	5	8	3202	592388	2	663	6	1046	594544	4	359	663
10	9	1503	594087	1	8	742	594848	2	9	1550	594040	1	172	9	771	594819	1	111	172
10	6	5393	590197	4	5	3045	592545	5	7	5504	590086	3	677	6	3096	592494	4	481	677
10	9	2819	592771	1	6	1262	594328	4	10	3049	592541	0	752	9	1341	594249	1	408	752
10	7	2461	593129	3	7	1052	594538	3	9	2517	593073	1	880	7	1322	594268	3	655	880
10	9	2293	593297	1	9	1164	594426	1	10	2325	593265	0	762	9	1251	594339	1	616	762
10	8	2561	593029	2	6	1158	594432	4	9	2584	593006	1	478	8	1355	594235	2	372	478
10	7	2397	593193	3	6	1165	594425	4	7	2441	593149	3	453	7	1205	594385	3	345	453
10	6	2737	592853	4	6	1358	594232	4	8	2705	592885	2	609	6	1439	594151	4	463	609
10	9	5609	589981	1	9	2559	593031	1	9	5529	590061	1	691	9	2663	592927	1	582	691
10	8	4024	591566	2	6	1932	593658	4	10	4039	591551	0	394	7	1980	593610	3	313	394
10	8	9908	585682	2	6	2365	593225	4	9	9898	585692	1	500	7	2392	593198	3	313	500
10	8	2498	593092	2	8	1201	594389	2	8	2659	592931	2	634	8	1233	594357	2	383	634
10	10	4581	591009	0	10	2188	593402	0	10	4734	590856	0	678	10	2246	593344	0	406	678
10	10	4656	590934	0	9	2175	593415	1	10	4542	591048	0	1004	10	2259	593331	0	848	1004
